HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID
HGNC:889	Merged/Split	AUF1	HGNC:5036
HGNC:892	Withdrawn	AUTS1	
HGNC:893	Merged/Split	AVED	HGNC:12404
HGNC:898	Merged/Split	AVPR3	HGNC:896
HGNC:899	Withdrawn	AVR	
HGNC:900	Withdrawn	AVRR	
HGNC:901	Merged/Split	AWAL	HGNC:2047
HGNC:902	Merged/Split	AXA1	HGNC:15984
HGNC:906	Merged/Split	AXPC1	HGNC:24682
HGNC:907	Merged/Split	AXT	HGNC:2172
HGNC:908	Withdrawn	AZF1	
HGNC:909	Withdrawn	AZF2	
HGNC:931	Merged/Split	BA2R	HGNC:11535
HGNC:965	Merged/Split	BBS	HGNC:967
HGNC:968	Merged/Split	BBS3	HGNC:13210
HGNC:972	Merged/Split	BCAR2	HGNC:18273
HGNC:979	Merged/Split	BCD1	HGNC:2235
HGNC:980	Merged/Split	BCEI	HGNC:11755
HGNC:981	Withdrawn	BCGF1	
HGNC:982	Merged/Split	BCH	HGNC:11825
HGNC:984	Withdrawn	BCHEL1	
HGNC:985	Withdrawn	BCHEL3	
HGNC:988	Merged/Split	BCL1	HGNC:1582
HGNC:999	Merged/Split	BCL4	HGNC:998
HGNC:1000	Withdrawn	BCL5	
HGNC:1003	Merged/Split	BCL7	HGNC:1004
HGNC:1009	Merged/Split	BCMA	HGNC:11913
HGNC:1010	Merged/Split	BCNG1	HGNC:4845
HGNC:1011	Merged/Split	BCNG2	HGNC:4846
HGNC:1013	Merged/Split	BCPM	HGNC:13211
HGNC:1019	Merged/Split	BCRL6	HGNC:1016
HGNC:1021	Merged/Split	BCUR1	HGNC:6548
HGNC:1025	Merged/Split	BDB	HGNC:10257
HGNC:1026	Merged/Split	BDB1	HGNC:10257
HGNC:1028	Merged/Split	BDK	HGNC:6383
HGNC:1031	Withdrawn	BDM	
HGNC:1032	Merged/Split	BDMR	HGNC:14063
HGNC:1035	Withdrawn	BEVI	
HGNC:1038	Merged/Split	BFD	HGNC:1037
HGNC:1039	Merged/Split	BFLS	HGNC:18145
HGNC:1042	Merged/Split	BFT	HGNC:9004
HGNC:1045	Merged/Split	BGP	HGNC:1814
HGNC:1056	Merged/Split	BLIMP1	HGNC:9346
HGNC:1061	Merged/Split	BLVR	HGNC:1062
HGNC:1064	Withdrawn	BLYM	
HGNC:1086	Merged/Split	BNSP	HGNC:11255
HGNC:1088	Merged/Split	BOR	HGNC:3519
HGNC:1089	Merged/Split	BORJ	HGNC:18145
HGNC:1091	Merged/Split	BPAG2	HGNC:2194
HGNC:1098	Withdrawn	BRAFPS1	
HGNC:1110	Merged/Split	BRIC	HGNC:3706
HGNC:1111	Merged/Split	BRN3B	HGNC:9219
HGNC:1114	Merged/Split	BSCL	HGNC:325
HGNC:1115	Merged/Split	BSEP	HGNC:42
HGNC:1124	Merged/Split	BTEB2	HGNC:6349
HGNC:1134	Merged/Split	BTN	HGNC:1135
HGNC:1146	Merged/Split	BTS	HGNC:2074
HGNC:1147	Withdrawn	BTS1	
HGNC:1150	Merged/Split	BUB1L	HGNC:1148
HGNC:1154	Merged/Split	BWS	HGNC:1786
HGNC:1155	Merged/Split	BWSCR1A	HGNC:10964
HGNC:1156	Merged/Split	BWSCR1B	HGNC:10965
HGNC:1159	Merged/Split	BZS	HGNC:9588
HGNC:1175	Merged/Split	C11orf3	HGNC:1172
HGNC:1179	Merged/Split	C11orf7	HGNC:11405
HGNC:1182	Merged/Split	C12orf1	HGNC:7030
HGNC:1194	Merged/Split	C15orf6	HGNC:18140
HGNC:1195	Merged/Split	C16orf1	HGNC:17916
HGNC:1196	Merged/Split	C16orf2	HGNC:7864
HGNC:1198	Merged/Split	C16orf4	HGNC:7864
HGNC:1199	Merged/Split	C16orf6	HGNC:29564
HGNC:1200	Merged/Split	C17orf1	HGNC:1211
HGNC:1201	Withdrawn	C17orf10	
HGNC:1202	Withdrawn	C17orf11	
HGNC:1203	Withdrawn	C17orf12	
HGNC:1204	Withdrawn	C17orf13	
HGNC:1205	Withdrawn	C17orf14	
HGNC:1206	Withdrawn	C17orf15	
HGNC:1207	Withdrawn	C17orf16	
HGNC:1208	Withdrawn	C17orf17	
HGNC:1209	Withdrawn	C17orf18	
HGNC:1210	Withdrawn	C17orf19	
HGNC:1213	Withdrawn	C17orf2	
HGNC:1214	Withdrawn	C17orf20	
HGNC:1215	Withdrawn	C17orf21	
HGNC:1216	Withdrawn	C17orf22	
HGNC:1218	Withdrawn	C17orf4	
HGNC:1219	Withdrawn	C17orf5	
HGNC:1221	Withdrawn	C17orf7	
HGNC:1222	Withdrawn	C17orf8	
HGNC:1223	Withdrawn	C17orf9	
HGNC:1227	Withdrawn	C1HR	
HGNC:1231	Merged/Split	C1orf11	HGNC:15846
HGNC:1234	Merged/Split	C1orf3	HGNC:10565
HGNC:1235	Merged/Split	C1orf4	HGNC:11110
HGNC:1236	Withdrawn	C1orf5	
HGNC:1238	Merged/Split	C1orf7	HGNC:16400
HGNC:1250	Merged/Split	C20orf2	HGNC:1249
HGNC:1251	Merged/Split	C21orf1	HGNC:13524
HGNC:1252	Merged/Split	C21orf10	HGNC:13082
HGNC:1254	Withdrawn	C21orf12	
HGNC:1256	Merged/Split	C21orf14	HGNC:16459
HGNC:1257	Merged/Split	C21orf15	HGNC:2647
HGNC:1259	Merged/Split	C21orf19	HGNC:23274
HGNC:1261	Withdrawn	NCRNA00098	
HGNC:1267	Merged/Split	C21orf27	HGNC:1258
HGNC:1269	Merged/Split	C21orf3	HGNC:13524
HGNC:1270	Merged/Split	LRRC3DN	HGNC:14965
HGNC:1272	Withdrawn	C21orf32	
HGNC:1275	Merged/Split	C21orf35	HGNC:1274
HGNC:1278	Merged/Split	C21orf38	HGNC:16459
HGNC:1281	Withdrawn	C21orf40	
HGNC:1284	Merged/Split	C21orf43	HGNC:14686
HGNC:1287	Merged/Split	C21orf46	HGNC:1286
HGNC:1289	Merged/Split	C21orf48	HGNC:1301
HGNC:1292	Merged/Split	C21orf50	HGNC:11183
HGNC:1295	Withdrawn	C21orf53	
HGNC:1303	Merged/Split	C21orf60	HGNC:2993
HGNC:1311	Merged/Split	C22orf6	HGNC:10699
HGNC:1315	Merged/Split	C2orf1	HGNC:14487
HGNC:1341	Merged/Split	C6orf2	HGNC:1343
HGNC:1342	Merged/Split	TRAF3IP2-AS2	HGNC:40005
HGNC:1344	Merged/Split	C6orf5	HGNC:1343
HGNC:1345	Merged/Split	C6orf6	HGNC:1343
HGNC:1347	Merged/Split	C7orf1	HGNC:2045
HGNC:1351	Merged/Split	C7orf8	HGNC:15679
HGNC:1360	Merged/Split	C9orf2	HGNC:11866
HGNC:1376	Merged/Split	CA5	HGNC:1377
HGNC:1387	Withdrawn	CACD	
HGNC:1398	Merged/Split	CACNA2	HGNC:1399
HGNC:1410	Merged/Split	CACNL1A1	HGNC:1390
HGNC:1411	Merged/Split	CACNL1A2	HGNC:1391
HGNC:1412	Merged/Split	CACNL1A3	HGNC:1397
HGNC:1413	Merged/Split	CACNL1A4	HGNC:1388
HGNC:1414	Merged/Split	CACNL1A5	HGNC:1389
HGNC:1415	Merged/Split	CACNL1A6	HGNC:1392
HGNC:1416	Merged/Split	CACNL2A	HGNC:1399
HGNC:1417	Merged/Split	CACNLB1	HGNC:1401
HGNC:1418	Merged/Split	CACNLB2	HGNC:1402
HGNC:1419	Merged/Split	CACNLB3	HGNC:1403
HGNC:1420	Merged/Split	CACP	HGNC:9364
HGNC:1423	Merged/Split	CACY	HGNC:10496
HGNC:1425	Merged/Split	CADASIL	HGNC:7883
HGNC:1427	Merged/Split	CAE1	HGNC:4281
HGNC:1428	Merged/Split	CAE2	HGNC:2659
HGNC:1429	Merged/Split	CAGA	HGNC:10498
HGNC:1430	Merged/Split	CAGB	HGNC:10499
HGNC:1431	Merged/Split	CAK	HGNC:2730
HGNC:1432	Merged/Split	CAL1H	HGNC:537
HGNC:1433	Merged/Split	CAL1L	HGNC:10487
HGNC:1450	Merged/Split	CALML1	HGNC:1443
HGNC:1451	Merged/Split	CALML2	HGNC:1442
HGNC:1453	Merged/Split	CALNA	HGNC:9314
HGNC:1454	Merged/Split	CALNB	HGNC:9315
HGNC:1456	Merged/Split	CALS	HGNC:1382
HGNC:1457	Merged/Split	CALT	HGNC:1867
HGNC:1465	Merged/Split	CAMKA	HGNC:1460
HGNC:1466	Merged/Split	CAMKB	HGNC:1461
HGNC:1467	Merged/Split	CAMKD	HGNC:1462
HGNC:1468	Merged/Split	CAMKG	HGNC:1463
HGNC:1475	Merged/Split	CAPL	HGNC:10494
HGNC:1495	Merged/Split	CASA	HGNC:2445
HGNC:1496	Merged/Split	CASB	HGNC:2447
HGNC:1518	Withdrawn	CATHL1L	
HGNC:1524	Withdrawn	CATHLP	
HGNC:1526	Merged/Split	CAV	HGNC:1527
HGNC:1531	Merged/Split	CBBM	HGNC:4206, HGNC:9936
HGNC:1532	Merged/Split	CBD	HGNC:4206
HGNC:1533	Merged/Split	CBFA1	HGNC:10472
HGNC:1534	Merged/Split	CBFA2	HGNC:10471
HGNC:1538	Merged/Split	CBFA3	HGNC:10473
HGNC:1545	Merged/Split	CBP	HGNC:9936
HGNC:1547	Merged/Split	SERPINH2	HGNC:1546
HGNC:1558	Merged/Split	CCA	HGNC:3604
HGNC:1559	Withdrawn	CCA1	
HGNC:1560	Merged/Split	CCA2	HGNC:2398
HGNC:1561	Withdrawn	CCAL1	
HGNC:1562	Merged/Split	CCAL2	HGNC:15492
HGNC:1563	Merged/Split	CCAT	HGNC:4204
HGNC:1566	Withdrawn	CCD#	
HGNC:1567	Merged/Split	CCD1	HGNC:10472
HGNC:1572	Merged/Split	CCL	HGNC:2412
HGNC:1574	Merged/Split	C7orf22	HGNC:21708
HGNC:1575	Merged/Split	CCM3	HGNC:8761
HGNC:1576	Merged/Split	CCNA	HGNC:1578
HGNC:1588	Merged/Split	CCNE	HGNC:1589
HGNC:1597	Merged/Split	CCNL1	HGNC:6944
HGNC:1598	Merged/Split	CCNM	HGNC:20570
HGNC:1601	Merged/Split	CCO	HGNC:10483
HGNC:1614	Withdrawn	CCT	
HGNC:1619	Merged/Split	CCT6	HGNC:1620
HGNC:1624	Withdrawn	CCV	
HGNC:1626	Merged/Split	CD11B	HGNC:6149
HGNC:1627	Merged/Split	CD13	HGNC:500
HGNC:1629	Merged/Split	CD15	HGNC:4015
HGNC:1640	Merged/Split	CD20	HGNC:7315
HGNC:1642	Merged/Split	CD20L	HGNC:7317
HGNC:1644	Merged/Split	CD23A	HGNC:3612
HGNC:1650	Merged/Split	CD26	HGNC:3009
HGNC:1652	Merged/Split	CD27LG	HGNC:11937
HGNC:1654	Merged/Split	CD28LG1	HGNC:1700
HGNC:1655	Merged/Split	CD28LG2	HGNC:1705
HGNC:1657	Merged/Split	CD30	HGNC:11923
HGNC:1658	Merged/Split	CD30LG	HGNC:11938
HGNC:1660	Merged/Split	CD33L1	HGNC:10875
HGNC:1661	Merged/Split	CD33L2	HGNC:10874
HGNC:1668	Merged/Split	CD39	HGNC:3363
HGNC:1669	Merged/Split	CD39L1	HGNC:3364
HGNC:1670	Merged/Split	CD39L2	HGNC:3368
HGNC:1671	Merged/Split	CD39L3	HGNC:3365
HGNC:1672	Merged/Split	CD39L4	HGNC:3367
HGNC:1676	Withdrawn	CD3W	
HGNC:1679	Merged/Split	TNFRSF5	HGNC:11919
HGNC:1680	Merged/Split	TNFSF5	HGNC:11935
HGNC:1684	Merged/Split	CD49B	HGNC:6137
HGNC:1687	Merged/Split	CD57	HGNC:921
HGNC:1702	Merged/Split	KAI1	HGNC:6210
HGNC:1710	Merged/Split	CD94	HGNC:6378
HGNC:1714	Merged/Split	CDAN2	HGNC:10702
HGNC:1715	Withdrawn	CDAN3	
HGNC:1716	Withdrawn	CDB2	
HGNC:1721	Merged/Split	CDC18L	HGNC:1744
HGNC:1731	Merged/Split	CDC2L3	HGNC:1730
HGNC:1732	Merged/Split	CDC2L4	HGNC:1780
HGNC:1740	Merged/Split	CDC45L2	HGNC:1739
HGNC:1741	Merged/Split	CDC46	HGNC:6948
HGNC:1746	Merged/Split	CDCL1	HGNC:6944
HGNC:1747	Merged/Split	CDG1	HGNC:9115
HGNC:1761	Merged/Split	CDH21	HGNC:8699
HGNC:1783	Merged/Split	CDKN1	HGNC:1784
HGNC:1792	Withdrawn	CDL1	
