Gene stable ID	Transcript stable ID	Protein stable ID	HGNC ID	HGNC symbol
ENSG00000223506	ENST00000413906		HGNC:20051	SLC20A1P1
ENSG00000253820	ENST00000522410		HGNC:5689	IGHVII-67-1
ENSG00000254036	ENST00000519849		HGNC:5705	IGHVIII-67-2
ENSG00000253635	ENST00000517650		HGNC:5706	IGHVIII-67-3
ENSG00000254052	ENST00000524281		HGNC:5707	IGHVIII-67-4
ENSG00000253703	ENST00000519437		HGNC:5557	IGHV1-68
ENSG00000211973	ENST00000390633	ENSP00000375042	HGNC:5558	IGHV1-69
ENSG00000211974	ENST00000390634	ENSP00000375043	HGNC:49602	IGHV2-70D
ENSG00000280350	ENST00000624692		HGNC:52514	LINC01726
ENSG00000282477	ENST00000632649			
ENSG00000228570	ENST00000429984	ENSP00000407521	HGNC:23448	NUTM2E
ENSG00000228570	ENST00000602967	ENSP00000473558	HGNC:23448	NUTM2E
ENSG00000281050	ENST00000628961		HGNC:38714	KRT18P53
ENSG00000280769	ENST00000626560			
ENSG00000282594	ENST00000633884		HGNC:50460	LINC01300
ENSG00000282594	ENST00000631938		HGNC:50460	LINC01300
ENSG00000273850	ENST00000612937	ENSP00000481962	HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000629703		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000627905		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000630462		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000625960		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000631181		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000629050		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000626083		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000629907		HGNC:13417	PPP2R3B
ENSG00000273850	ENST00000626780	ENSP00000487375	HGNC:13417	PPP2R3B
ENSG00000282600	ENST00000631386		HGNC:5631	IGHV3-69-1
ENSG00000278410	ENST00000621402			
ENSG00000099849	ENST00000431809	ENSP00000403068	HGNC:1166	RASSF7
ENSG00000099849	ENST00000397582	ENSP00000380712	HGNC:1166	RASSF7
ENSG00000099849	ENST00000397583	ENSP00000380713	HGNC:1166	RASSF7
ENSG00000099849	ENST00000414138	ENSP00000413484	HGNC:1166	RASSF7
ENSG00000099849	ENST00000524468		HGNC:1166	RASSF7
ENSG00000099849	ENST00000454668	ENSP00000405606	HGNC:1166	RASSF7
ENSG00000099849	ENST00000528736	ENSP00000433165	HGNC:1166	RASSF7
ENSG00000099849	ENST00000531112	ENSP00000435885	HGNC:1166	RASSF7
ENSG00000125813	ENST00000398485	ENSP00000381499	HGNC:8615	PAX1
ENSG00000125813	ENST00000613128	ENSP00000481334	HGNC:8615	PAX1
ENSG00000125813	ENST00000444366	ENSP00000410355	HGNC:8615	PAX1
ENSG00000125813	ENST00000485038		HGNC:8615	PAX1
ENSG00000281990	ENST00000632209	ENSP00000487714	HGNC:5562	IGHV1-69-2
ENSG00000282573	ENST00000634197			
ENSG00000189184	ENST00000344876	ENSP00000355082	HGNC:14268	PCDH18
ENSG00000189184	ENST00000412923	ENSP00000390688	HGNC:14268	PCDH18
ENSG00000189184	ENST00000507846	ENSP00000425903	HGNC:14268	PCDH18
ENSG00000189184	ENST00000511115	ENSP00000425647	HGNC:14268	PCDH18
ENSG00000189184	ENST00000510305	ENSP00000424269	HGNC:14268	PCDH18
ENSG00000189184	ENST00000611581	ENSP00000478176	HGNC:14268	PCDH18
ENSG00000189184	ENST00000620262		HGNC:14268	PCDH18
