Gene stable ID	RefSeq ncRNA ID
ENSG00000291428	
ENSG00000291428	
ENSG00000291441	
ENSG00000291431	
ENSG00000291431	
ENSG00000291431	
ENSG00000291432	
ENSG00000291432	NR_021489
ENSG00000291432	
ENSG00000291432	
ENSG00000291432	
ENSG00000291433	
ENSG00000291434	
ENSG00000291435	
ENSG00000291440	
ENSG00000291443	
ENSG00000291436	
ENSG00000291437	NR_026643
ENSG00000291437	
ENSG00000291437	
ENSG00000291438	NR_026642
ENSG00000291439	
ENSG00000291442	
ENSG00000291442	
ENSG00000291442	
ENSG00000291442	
ENSG00000291442	
ENSG00000291442	
ENSG00000291442	
ENSG00000291444	
ENSG00000291445	
ENSG00000291446	
ENSG00000291447	
ENSG00000291448	
ENSG00000291449	
ENSG00000291450	
ENSG00000291451	
ENSG00000291452	
ENSG00000291453	NR_001546
ENSG00000291455	
ENSG00000291455	
ENSG00000291455	
ENSG00000291455	
ENSG00000291455	
ENSG00000291456	
ENSG00000291456	
ENSG00000291457	
ENSG00000291458	
ENSG00000291458	
ENSG00000291458	
ENSG00000291458	
ENSG00000291458	
ENSG00000291459	
ENSG00000291460	
ENSG00000291461	
ENSG00000291462	
ENSG00000291454	
ENSG00000293355	
ENSG00000293355	NR_145468
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000285019	
ENSG00000281449	
ENSG00000285196	
ENSG00000281449	
ENSG00000281442	
ENSG00000283344	NR_128710
ENSG00000285308	
ENSG00000285028	
ENSG00000285455	
ENSG00000285477	
ENSG00000281324	NR_182264
ENSG00000281324	
ENSG00000281324	
ENSG00000281324	
ENSG00000281324	
ENSG00000281324	
ENSG00000281324	
ENSG00000280475	
ENSG00000206783	
ENSG00000281874	
ENSG00000207477	
ENSG00000281818	
ENSG00000281818	
ENSG00000281818	
ENSG00000281818	
ENSG00000281051	
ENSG00000281234	NR_024061
ENSG00000280689	
ENSG00000280689	
ENSG00000280689	
ENSG00000280689	
ENSG00000281168	
ENSG00000280962	
ENSG00000280962	
ENSG00000280962	
ENSG00000280962	
ENSG00000280962	
ENSG00000280962	
ENSG00000281671	
ENSG00000281525	
ENSG00000282467	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292327	
ENSG00000292328	
ENSG00000292329	
ENSG00000292330	
ENSG00000292331	
ENSG00000292331	
ENSG00000292331	
ENSG00000292331	
ENSG00000292331	
ENSG00000292332	
ENSG00000292332	
ENSG00000292332	
ENSG00000292333	
ENSG00000292333	
ENSG00000292334	
ENSG00000292334	
ENSG00000292334	
ENSG00000292335	
ENSG00000292336	
ENSG00000292336	
ENSG00000292336	
ENSG00000292336	
ENSG00000292336	
ENSG00000292337	
ENSG00000288406	
ENSG00000292338	
ENSG00000292338	
ENSG00000292338	
ENSG00000292338	
ENSG00000292338	
ENSG00000292338	
ENSG00000292338	
ENSG00000292339	
ENSG00000292339	
ENSG00000292339	
ENSG00000292339	
ENSG00000292339	
ENSG00000292339	
ENSG00000292340	
ENSG00000292340	
ENSG00000292341	
ENSG00000292341	NR_130733
ENSG00000292342	
ENSG00000292343	
ENSG00000292343	NR_027383
ENSG00000292343	
ENSG00000292344	NR_028057
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	NR_163416
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292345	
ENSG00000292345	
ENSG00000292345	
ENSG00000292345	
ENSG00000292345	
ENSG00000292345	
ENSG00000292346	NR_106737
ENSG00000292347	NR_037842
ENSG00000292348	NR_135623
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292349	
ENSG00000292350	
ENSG00000292351	
ENSG00000292352	
ENSG00000292353	
ENSG00000292354	
ENSG00000292354	
ENSG00000292354	
ENSG00000292354	
ENSG00000292355	NR_037461
ENSG00000292356	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	NR_027760
ENSG00000292357	
