Gene stable ID	UCSC Stable ID
ENSMUSG00000099436	
ENSMUSG00000101883	
ENSMUSG00000100067	
ENSMUSG00000100067	
ENSMUSG00000100818	
ENSMUSG00000099529	
ENSMUSG00000102022	
ENSMUSG00000102022	
ENSMUSG00000102022	
ENSMUSG00000101497	
ENSMUSG00000100870	
ENSMUSG00000101694	
ENSMUSG00000100492	
ENSMUSG00000100492	
ENSMUSG00000099725	
ENSMUSG00000100403	
ENSMUSG00000100853	
ENSMUSG00000099982	
ENSMUSG00000099982	
ENSMUSG00000100036	
ENSMUSG00000099506	
ENSMUSG00000101402	
ENSMUSG00000101402	
ENSMUSG00000100584	
ENSMUSG00000100584	
ENSMUSG00000100584	
ENSMUSG00000100574	
ENSMUSG00000100574	
ENSMUSG00000101987	
ENSMUSG00000100072	
ENSMUSG00000101570	
ENSMUSG00000101885	
ENSMUSG00000100095	
ENSMUSG00000101420	
ENSMUSG00000100270	
ENSMUSG00000102011	
ENSMUSG00000100246	
ENSMUSG00000099654	
ENSMUSG00000099654	
ENSMUSG00000099654	
ENSMUSG00000100834	
ENSMUSG00000100533	
ENSMUSG00000100533	
ENSMUSG00000094729	
ENSMUSG00000094729	
ENSMUSG00000100332	
ENSMUSG00000100678	
ENSMUSG00000100507	
ENSMUSG00000101547	
ENSMUSG00000100401	
ENSMUSG00000100401	
ENSMUSG00000100401	
ENSMUSG00000101992	
ENSMUSG00000101367	
ENSMUSG00000101665	
ENSMUSG00000100778	
ENSMUSG00000100835	
ENSMUSG00000101446	
ENSMUSG00000100045	
ENSMUSG00000101018	
ENSMUSG00000101178	
ENSMUSG00000101566	
ENSMUSG00000101190	
ENSMUSG00000101190	
ENSMUSG00000101190	
ENSMUSG00000099942	
ENSMUSG00000100864	
ENSMUSG00000101368	
ENSMUSG00000099682	
ENSMUSG00000100227	
ENSMUSG00000100227	
ENSMUSG00000100227	
ENSMUSG00000099456	
ENSMUSG00000099456	
ENSMUSG00000099456	
ENSMUSG00000099594	
ENSMUSG00000101267	
ENSMUSG00000101783	
ENSMUSG00000099466	
ENSMUSG00000100089	
ENSMUSG00000101542	
ENSMUSG00000101542	
ENSMUSG00000101542	
ENSMUSG00000096518	
ENSMUSG00000099509	
ENSMUSG00000100424	
ENSMUSG00002076770	
ENSMUSG00000101490	
ENSMUSG00000099993	
ENSMUSG00000101534	
ENSMUSG00000101364	
ENSMUSG00000101422	
ENSMUSG00000101422	
ENSMUSG00000101422	
ENSMUSG00000100184	
ENSMUSG00000101967	
ENSMUSG00000101967	
ENSMUSG00000101967	
ENSMUSG00000102035	
ENSMUSG00000101228	
ENSMUSG00000101723	
ENSMUSG00000102056	
ENSMUSG00000100052	
ENSMUSG00000099442	
ENSMUSG00000101148	
ENSMUSG00000101580	
ENSMUSG00000100054	
ENSMUSG00000100054	
ENSMUSG00000100054	
ENSMUSG00000100207	
ENSMUSG00000100142	
ENSMUSG00000100889	
ENSMUSG00000099607	
ENSMUSG00000100242	
ENSMUSG00000100167	
ENSMUSG00000100167	
ENSMUSG00000100167	
ENSMUSG00000100144	
ENSMUSG00000100144	
ENSMUSG00000100144	
ENSMUSG00000102103	
ENSMUSG00000099527	
ENSMUSG00000101045	
ENSMUSG00000099920	
ENSMUSG00000101021	
ENSMUSG00000099485	
ENSMUSG00000099548	
ENSMUSG00000096875	
ENSMUSG00000101891	
ENSMUSG00000101891	
ENSMUSG00000100238	
ENSMUSG00000101103	
ENSMUSG00000099866	
ENSMUSG00000099866	
ENSMUSG00000101910	
ENSMUSG00000101910	
ENSMUSG00000100579	
ENSMUSG00000100579	
ENSMUSG00000094217	
ENSMUSG00000100057	
ENSMUSG00000100057	
ENSMUSG00000101592	
ENSMUSG00000100609	
ENSMUSG00000100609	
ENSMUSG00000101993	
ENSMUSG00000099935	
ENSMUSG00000100012	
ENSMUSG00000100012	
ENSMUSG00000099836	
ENSMUSG00000099836	
ENSMUSG00000100575	
ENSMUSG00000101676	
ENSMUSG00000101510	
ENSMUSG00000100404	
ENSMUSG00000099865	
ENSMUSG00000100474	
ENSMUSG00000100757	
ENSMUSG00000100606	
ENSMUSG00000101170	
ENSMUSG00000099355	
ENSMUSG00000099355	
ENSMUSG00000099739	
ENSMUSG00000100874	
ENSMUSG00000101689	
ENSMUSG00000099626	
ENSMUSG00000102108	
ENSMUSG00000093950	
ENSMUSG00000101323	
ENSMUSG00000101466	
ENSMUSG00000101614	
ENSMUSG00000101614	
ENSMUSG00000100307	
ENSMUSG00000101882	
ENSMUSG00000099585	
ENSMUSG00000101182	
ENSMUSG00000101668	
ENSMUSG00000101668	
ENSMUSG00000101998	
ENSMUSG00000099975	
ENSMUSG00000099783	
ENSMUSG00000101390	
ENSMUSG00000099699	
ENSMUSG00000099699	
ENSMUSG00000100856	
ENSMUSG00000101544	
ENSMUSG00000100159	
ENSMUSG00000101864	
ENSMUSG00000100712	
ENSMUSG00000101119	
ENSMUSG00000099520	
ENSMUSG00000099520	
ENSMUSG00000100520	
ENSMUSG00000102107	
ENSMUSG00000101057	
ENSMUSG00000101125	
ENSMUSG00000101125	
ENSMUSG00000101887	
ENSMUSG00000100521	
ENSMUSG00000101790	
ENSMUSG00000100452	
ENSMUSG00000100452	
ENSMUSG00000101403	
ENSMUSG00000101830	
ENSMUSG00000099350	
ENSMUSG00000100329	
ENSMUSG00000099940	
ENSMUSG00000099940	
ENSMUSG00000101766	
ENSMUSG00000101530	
ENSMUSG00000100676	
ENSMUSG00000101539	
ENSMUSG00000101539	
ENSMUSG00000100353	
ENSMUSG00000101022	
ENSMUSG00000100077	
ENSMUSG00000101569	
ENSMUSG00000101184	
ENSMUSG00000099386	
ENSMUSG00000095103	
ENSMUSG00000095785	
ENSMUSG00000095785	
ENSMUSG00000099487	
ENSMUSG00000101507	
ENSMUSG00000101507	
ENSMUSG00000093993	
ENSMUSG00000093993	
ENSMUSG00000093993	
ENSMUSG00000100956	
ENSMUSG00000100942	
ENSMUSG00000100333	
ENSMUSG00000100126	
ENSMUSG00000100126	
ENSMUSG00000101679	
ENSMUSG00000099434	
ENSMUSG00000100993	
ENSMUSG00000099778	
ENSMUSG00000101512	
ENSMUSG00000101512	
ENSMUSG00000100136	
ENSMUSG00000101256	
ENSMUSG00000101256	
ENSMUSG00000101758	
ENSMUSG00000099395	
ENSMUSG00000100982	
ENSMUSG00000099368	
ENSMUSG00000101010	
ENSMUSG00000100447	
ENSMUSG00000100607	
ENSMUSG00000099829	
ENSMUSG00000101278	
ENSMUSG00000101278	
ENSMUSG00000101442	
ENSMUSG00000096666	
ENSMUSG00000096666	
ENSMUSG00000100373	
ENSMUSG00000100373	
ENSMUSG00000102077	
ENSMUSG00000099852	
ENSMUSG00000095302	
ENSMUSG00000095302	
ENSMUSG00000100569	
ENSMUSG00000100809	
ENSMUSG00000099962	
ENSMUSG00000100547	
ENSMUSG00000099755	
ENSMUSG00000099457	
ENSMUSG00000101313	
ENSMUSG00000101313	
ENSMUSG00000100478	
ENSMUSG00000101083	
ENSMUSG00000102118	
ENSMUSG00000096881	
ENSMUSG00000099716	
ENSMUSG00000101794	
ENSMUSG00000101794	
ENSMUSG00000101529	
ENSMUSG00000099335	
ENSMUSG00000100897	
ENSMUSG00000101139	
ENSMUSG00000101825	
ENSMUSG00000099976	
ENSMUSG00000099501	
ENSMUSG00000099501	
ENSMUSG00000099991	
ENSMUSG00000101358	
ENSMUSG00000101816	
ENSMUSG00000096016	
ENSMUSG00000096016	
ENSMUSG00000096016	
ENSMUSG00000101861	
ENSMUSG00000101861	
ENSMUSG00000101598	
ENSMUSG00000102230	
ENSMUSG00000104345	
ENSMUSG00000104345	
ENSMUSG00000104345	
ENSMUSG00000102772	
ENSMUSG00000102772	
ENSMUSG00000102772	
ENSMUSG00000103425	
ENSMUSG00000102486	
ENSMUSG00000103250	
ENSMUSG00000103077	
ENSMUSG00000103077	
ENSMUSG00000103787	
ENSMUSG00000103987	
ENSMUSG00000103063	
ENSMUSG00000102957	
ENSMUSG00000103269	
ENSMUSG00000103954	
ENSMUSG00000103954	
ENSMUSG00000103954	
ENSMUSG00000103894	
ENSMUSG00000103795	
ENSMUSG00000103919	
ENSMUSG00000103812	
ENSMUSG00000103812	
ENSMUSG00000103812	
ENSMUSG00000104259	
ENSMUSG00000102487	
ENSMUSG00000102847	
ENSMUSG00000103773	
ENSMUSG00000102347	
ENSMUSG00000104480	
ENSMUSG00000104062	
ENSMUSG00000104062	
ENSMUSG00000104062	
ENSMUSG00000103231	
ENSMUSG00000102318	
ENSMUSG00000103074	
ENSMUSG00000102965	
ENSMUSG00000104289	
ENSMUSG00000104289	
ENSMUSG00000104289	
ENSMUSG00000102730	
ENSMUSG00000102529	
ENSMUSG00000103589	
ENSMUSG00000103589	
ENSMUSG00000103589	
ENSMUSG00000102396	
ENSMUSG00000104247	
ENSMUSG00000104255	
ENSMUSG00000102598	
ENSMUSG00000102402	
ENSMUSG00000104228	
ENSMUSG00000103029	
ENSMUSG00000103029	
ENSMUSG00000103029	
