Gene stable ID	RefSeq peptide ID
ENSMUSG00000024317	NP_001289940
ENSMUSG00000024317	NP_001289934
ENSMUSG00000024317	NP_062680
ENSMUSG00000024313	
ENSMUSG00000022678	NP_075806
ENSMUSG00000022678	NP_001107557
ENSMUSG00000022678	
ENSMUSG00000024313	NP_032612
ENSMUSG00000022678	NP_001272432
ENSMUSG00000022678	NP_001272433
ENSMUSG00000041138	NP_001161381
ENSMUSG00000018707	NP_084514
ENSMUSG00000041138	NP_853622
ENSMUSG00000042680	NP_001028617
ENSMUSG00000042680	
ENSMUSG00000018707	
ENSMUSG00000056508	NP_079764
ENSMUSG00000056508	
ENSMUSG00000038683	NP_080826
ENSMUSG00000047462	NP_783619
ENSMUSG00000021243	NP_082908
ENSMUSG00000063905	
ENSMUSG00000021243	
ENSMUSG00000021361	NP_001347699
ENSMUSG00000021361	NP_079663
ENSMUSG00000053101	NP_861419
ENSMUSG00000053101	
ENSMUSG00000024598	NP_034311
ENSMUSG00000002489	NP_001139358
ENSMUSG00000002489	
ENSMUSG00000002489	NP_033410
ENSMUSG00000021270	NP_034610
ENSMUSG00000002489	
ENSMUSG00000002489	NP_001139359
ENSMUSG00000021270	
ENSMUSG00000042514	NP_001074872
ENSMUSG00000002489	
ENSMUSG00000021270	
ENSMUSG00000042514	
ENSMUSG00000021270	
ENSMUSG00000021270	
ENSMUSG00000049134	
ENSMUSG00000024600	NP_001074541
ENSMUSG00000041112	NP_525027
ENSMUSG00000022982	NP_035564
ENSMUSG00000041112	
ENSMUSG00000041112	
ENSMUSG00000041112	
ENSMUSG00000024601	NP_079754
ENSMUSG00000024601	
ENSMUSG00000049134	NP_001390107
ENSMUSG00000049134	NP_001390113
ENSMUSG00000049134	NP_001390105
ENSMUSG00000049134	NP_032759
ENSMUSG00000056380	NP_001295430
ENSMUSG00000056380	NP_034470
ENSMUSG00000049134	NP_001390109
ENSMUSG00000049134	NP_001390121
ENSMUSG00000049134	NP_001390122
ENSMUSG00000049134	NP_001390116
ENSMUSG00000049134	NP_001390115
ENSMUSG00000049134	NP_001390114
ENSMUSG00000049134	NP_001390119
ENSMUSG00000049134	NP_001390117
ENSMUSG00000049134	NP_001390120
ENSMUSG00000049134	NP_932307
ENSMUSG00000049134	NP_001390123
ENSMUSG00000049134	NP_001390124
ENSMUSG00000049134	NP_001273481
ENSMUSG00000049134	NP_001390125
ENSMUSG00000049134	
ENSMUSG00000049134	
ENSMUSG00000053441	NP_780715
ENSMUSG00000033965	NP_033223
ENSMUSG00000021322	NP_036184
ENSMUSG00000022983	NP_001404020
ENSMUSG00000022983	NP_001333728
ENSMUSG00000024878	NP_666209
ENSMUSG00000073257	NP_001092795
ENSMUSG00000022983	NP_001404019
ENSMUSG00000022983	NP_001345331
ENSMUSG00000021322	NP_001268783
ENSMUSG00000024878	
ENSMUSG00000022983	NP_001404018
ENSMUSG00000022983	NP_001404017
ENSMUSG00000022983	NP_001404016
ENSMUSG00000022983	NP_849254
ENSMUSG00000024878	
ENSMUSG00000042869	
ENSMUSG00000042869	
ENSMUSG00000042869	NP_666746
ENSMUSG00000025076	NP_031637
ENSMUSG00000073131	NP_001074825
ENSMUSG00000025076	
ENSMUSG00000073131	NP_001277710
ENSMUSG00000073131	NP_001277709
ENSMUSG00000024306	
ENSMUSG00000024306	NP_081892
ENSMUSG00000024306	
ENSMUSG00000024306	
ENSMUSG00000053414	NP_056570
ENSMUSG00000053414	
ENSMUSG00000050875	
ENSMUSG00000073255	NP_001094080
ENSMUSG00000073255	
ENSMUSG00000022978	NP_079918
ENSMUSG00000050875	NP_776120
ENSMUSG00000050875	
ENSMUSG00000039956	
ENSMUSG00000050875	NP_001161397
ENSMUSG00000050875	
ENSMUSG00000039956	
ENSMUSG00000050875	
ENSMUSG00000039956	NP_084120
ENSMUSG00000058152	
ENSMUSG00000058152	NP_001074797
ENSMUSG00000041380	NP_032338
ENSMUSG00000052085	NP_083061
ENSMUSG00000041380	
ENSMUSG00000041380	NP_001398320
ENSMUSG00000041380	
ENSMUSG00000073555	NP_001028939
ENSMUSG00000068606	NP_001030031
ENSMUSG00000090942	NP_001094945
ENSMUSG00000021363	
ENSMUSG00000054072	NP_068564
ENSMUSG00000054072	
ENSMUSG00000054072	NP_001139747
ENSMUSG00000056537	NP_035406
ENSMUSG00000032702	NP_001391507
ENSMUSG00000032702	NP_001391506
ENSMUSG00000032702	NP_001391539
ENSMUSG00000032702	NP_001391508
ENSMUSG00000032702	NP_001391537
ENSMUSG00000032702	NP_001391509
ENSMUSG00000032702	NP_001391510
ENSMUSG00000032702	NP_001391512
ENSMUSG00000032702	NP_001335109
ENSMUSG00000032702	NP_001391511
ENSMUSG00000032702	NP_001391503
ENSMUSG00000032702	NP_001391536
ENSMUSG00000032702	NP_001391534
ENSMUSG00000032702	NP_001391514
ENSMUSG00000032702	NP_001391513
ENSMUSG00000032702	NP_001391499
ENSMUSG00000032702	NP_852069
ENSMUSG00000032702	NP_001391502
ENSMUSG00000032702	NP_001391501
ENSMUSG00000032702	NP_001391505
ENSMUSG00000032702	NP_001391504
ENSMUSG00000056537	NP_001345134
ENSMUSG00000032702	
ENSMUSG00000038059	NP_598894
ENSMUSG00000021363	NP_001139274
ENSMUSG00000021363	
ENSMUSG00000021363	
ENSMUSG00000021363	
ENSMUSG00000021363	NP_001139275
ENSMUSG00000039929	NP_083773
ENSMUSG00000021363	NP_032573
ENSMUSG00000024837	NP_056641
ENSMUSG00000073130	
ENSMUSG00000024837	
ENSMUSG00000073130	
ENSMUSG00000042372	
ENSMUSG00000042372	NP_796334
ENSMUSG00000048138	NP_665830
ENSMUSG00000094759	NP_001094079
ENSMUSG00000094759	
ENSMUSG00000033361	
ENSMUSG00000020593	
ENSMUSG00000020593	NP_001342527
ENSMUSG00000024603	NP_001344391
ENSMUSG00000033361	NP_001074604
ENSMUSG00000033361	NP_001289957
ENSMUSG00000020593	
ENSMUSG00000024603	NP_080578
ENSMUSG00000020593	NP_766538
ENSMUSG00000024603	
ENSMUSG00000046449	
ENSMUSG00000025078	NP_080087
ENSMUSG00000020593	NP_001123884
ENSMUSG00000046449	
ENSMUSG00000025078	
ENSMUSG00000020593	
ENSMUSG00000046449	NP_001070822
ENSMUSG00000035283	NP_031445
ENSMUSG00000020593	
ENSMUSG00000053593	
ENSMUSG00000020593	NP_056578
ENSMUSG00000053593	
ENSMUSG00000037957	NP_001334357
ENSMUSG00000037957	
ENSMUSG00000037957	NP_001351201
ENSMUSG00000037957	NP_001351202
ENSMUSG00000037957	NP_081425
ENSMUSG00000037957	
ENSMUSG00000020591	
ENSMUSG00000041923	
ENSMUSG00000041923	
ENSMUSG00000035173	NP_739563
ENSMUSG00000020591	NP_001399603
ENSMUSG00000020591	NP_032773
ENSMUSG00000035173	
ENSMUSG00000020591	NP_001348632
ENSMUSG00000020591	NP_001348631
ENSMUSG00000020591	NP_001399604
ENSMUSG00000035173	
ENSMUSG00000031289	NP_001292988
ENSMUSG00000031289	NP_032382
ENSMUSG00000041923	NP_001348152
ENSMUSG00000041923	NP_001154955
ENSMUSG00000031289	
ENSMUSG00000021938	NP_001347349
ENSMUSG00000021938	NP_079958
ENSMUSG00000021666	
ENSMUSG00000021938	
ENSMUSG00000041923	NP_950189
ENSMUSG00000021938	
ENSMUSG00000041923	NP_001348153
ENSMUSG00000041923	NP_001348154
ENSMUSG00000041923	NP_001334439
ENSMUSG00000041923	NP_001334438
ENSMUSG00000041923	
ENSMUSG00000005864	NP_031750
ENSMUSG00000005864	NP_001397176
ENSMUSG00000033343	NP_064676
ENSMUSG00000118459	NP_082231
ENSMUSG00000024604	NP_080052
ENSMUSG00000024855	NP_001390495
ENSMUSG00000024855	NP_001390498
ENSMUSG00000024855	NP_001349380
ENSMUSG00000024855	NP_001390497
ENSMUSG00000024855	NP_001390496
ENSMUSG00000024855	NP_001390499
ENSMUSG00000024855	NP_694769
ENSMUSG00000021244	NP_001334350
ENSMUSG00000031333	NP_033722
ENSMUSG00000021244	NP_848140
ENSMUSG00000094601	
ENSMUSG00000094601	
ENSMUSG00000055639	NP_031852
ENSMUSG00000021244	
ENSMUSG00000024855	
ENSMUSG00000099711	NP_001257598
ENSMUSG00000055639	NP_001033699
ENSMUSG00000024302	
ENSMUSG00000024855	
ENSMUSG00000073016	NP_001074658
ENSMUSG00000021244	
ENSMUSG00000031340	NP_059065
ENSMUSG00000118409	NP_001161809
ENSMUSG00000036061	NP_082161
ENSMUSG00000101500	NP_001092803
ENSMUSG00000036061	
ENSMUSG00000056458	NP_001404465
ENSMUSG00000056458	NP_001404466
ENSMUSG00000056458	NP_001404457
ENSMUSG00000056458	NP_001404462
ENSMUSG00000056458	NP_001404449
ENSMUSG00000056458	NP_001404461
ENSMUSG00000056458	NP_001404464
ENSMUSG00000056458	NP_001404448
ENSMUSG00000056458	NP_001404463
ENSMUSG00000056458	NP_001404450
ENSMUSG00000056458	NP_001404454
ENSMUSG00000036061	
ENSMUSG00000036061	
ENSMUSG00000043453	NP_001078975
ENSMUSG00000056458	NP_001404456
ENSMUSG00000056458	NP_001404455
ENSMUSG00000056458	NP_001404459
ENSMUSG00000056458	NP_001404453
ENSMUSG00000056458	NP_001404458
ENSMUSG00000056458	NP_001404451
ENSMUSG00000056458	NP_001404460
ENSMUSG00000056458	NP_001404452
ENSMUSG00000056458	NP_036103
ENSMUSG00000056458	
ENSMUSG00000040123	NP_001240682
ENSMUSG00000101294	NP_001229944
ENSMUSG00000040123	
ENSMUSG00000040123	NP_659091
ENSMUSG00000040123	NP_001240681
ENSMUSG00000018830	NP_001155247
ENSMUSG00000021666	NP_001258393
ENSMUSG00000042320	NP_001348167
ENSMUSG00000018830	NP_001389724
