Gene stable ID	MGI ID
ENSMUSG00000099497	MGI:5579853
ENSMUSG00000099479	MGI:5579852
ENSMUSG00000101115	MGI:5579370
ENSMUSG00000100849	MGI:5579369
ENSMUSG00000101194	MGI:5579855
ENSMUSG00000099742	MGI:5579854
ENSMUSG00000100999	MGI:5579851
ENSMUSG00000101562	MGI:5579850
ENSMUSG00000101321	MGI:5579523
ENSMUSG00000100328	MGI:5579522
ENSMUSG00000101098	MGI:5434164
ENSMUSG00000094739	MGI:5434162
ENSMUSG00000102071	MGI:5579521
ENSMUSG00000100741	MGI:5579520
ENSMUSG00000101804	MGI:5579519
ENSMUSG00000099849	MGI:5579980
ENSMUSG00000100822	MGI:5579981
ENSMUSG00000101471	MGI:5579982
ENSMUSG00000101455	MGI:5433969
ENSMUSG00000099700	MGI:5580351
ENSMUSG00000101811	MGI:5579018
ENSMUSG00000099833	MGI:5579871
ENSMUSG00000101259	MGI:5434597
ENSMUSG00000101247	MGI:5579748
ENSMUSG00000100610	MGI:5579737
ENSMUSG00000099408	MGI:5579017
ENSMUSG00000101197	MGI:5579738
ENSMUSG00000101207	MGI:5579016
ENSMUSG00000102016	MGI:5580312
ENSMUSG00000099542	MGI:5579210
ENSMUSG00000101340	MGI:5580313
ENSMUSG00000100107	MGI:5579273
ENSMUSG00000099972	MGI:5434603
ENSMUSG00000100051	MGI:5579274
ENSMUSG00000101733	MGI:5579895
ENSMUSG00000099977	MGI:5579992
ENSMUSG00000099415	MGI:5579991
ENSMUSG00000100953	MGI:5578986
ENSMUSG00000096332	MGI:5434596
ENSMUSG00000099734	MGI:5578865
ENSMUSG00000100693	MGI:5578984
ENSMUSG00000100723	MGI:5578866
ENSMUSG00000101981	MGI:5578863
ENSMUSG00000100148	MGI:5578864
ENSMUSG00000100756	MGI:5434612
ENSMUSG00000099805	MGI:5578867
ENSMUSG00000101070	MGI:5579401
ENSMUSG00000100286	MGI:5579402
ENSMUSG00000101833	MGI:5434147
ENSMUSG00000102081	MGI:5579592
ENSMUSG00000101688	MGI:5434197
ENSMUSG00000099679	MGI:5579605
ENSMUSG00000102031	MGI:5580132
ENSMUSG00000100408	MGI:5579591
ENSMUSG00000100991	MGI:5434020
ENSMUSG00000102116	MGI:5579593
ENSMUSG00000101637	MGI:5579602
ENSMUSG00000101649	MGI:5580150
ENSMUSG00000100245	MGI:5434637
ENSMUSG00000095353	MGI:5433947
ENSMUSG00000100469	MGI:5579601
ENSMUSG00000101802	MGI:5580151
ENSMUSG00000100821	MGI:5579600
ENSMUSG00000101058	MGI:5433993
ENSMUSG00000099790	MGI:5579163
ENSMUSG00000100187	MGI:5580030
ENSMUSG00000101594	MGI:5433943
ENSMUSG00000101962	MGI:5579447
ENSMUSG00000100978	MGI:5434268
ENSMUSG00000100519	MGI:5434157
ENSMUSG00000100598	MGI:5579448
ENSMUSG00000100011	MGI:5579164
ENSMUSG00000100591	MGI:5434083
ENSMUSG00000100879	MGI:5579449
ENSMUSG00000100974	MGI:5579165
ENSMUSG00000101675	MGI:5579167
ENSMUSG00000099480	MGI:5578830
ENSMUSG00000101914	MGI:5433954
ENSMUSG00000099834	MGI:5433892
ENSMUSG00000100499	MGI:5579166
ENSMUSG00000100298	MGI:5578832
ENSMUSG00000100256	MGI:5579557
