Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000102125	ENSMUST00000187225	
ENSMUSG00000094064	ENSMUST00000189751	
ENSMUSG00000094064	ENSMUST00000177791	
ENSMUSG00000101421	ENSMUST00000187085	
ENSMUSG00000099461	ENSMUST00000190230	
ENSMUSG00000099461	ENSMUST00000188948	
ENSMUSG00000101706	ENSMUST00000185592	
ENSMUSG00000096532	ENSMUST00000186630	
ENSMUSG00000096532	ENSMUST00000178941	
ENSMUSG00000101627	ENSMUST00000185237	
ENSMUSG00000101627	ENSMUST00000189356	
ENSMUSG00000101852	ENSMUST00000187173	
ENSMUSG00000101681	ENSMUST00000190561	
ENSMUSG00000101681	ENSMUST00000185908	
ENSMUSG00000099438	ENSMUST00000185495	
ENSMUSG00000101870	ENSMUST00000189513	
ENSMUSG00000101472	ENSMUST00000190343	
ENSMUSG00000101407	ENSMUST00000185593	
ENSMUSG00000101407	ENSMUST00000191113	
ENSMUSG00000099500	ENSMUST00000190569	
ENSMUSG00000100097	ENSMUST00000188929	
ENSMUSG00000100097	ENSMUST00000187726	
ENSMUSG00000099806	ENSMUST00000191284	
ENSMUSG00000101474	ENSMUST00000187236	
ENSMUSG00000099704	ENSMUST00000190289	
ENSMUSG00000099704	ENSMUST00000186399	
ENSMUSG00000101383	ENSMUST00000189198	
ENSMUSG00000099737	ENSMUST00000187728	
ENSMUSG00000099737	ENSMUST00000190528	
ENSMUSG00000099914	ENSMUST00000190397	
ENSMUSG00000101417	ENSMUST00000189755	
ENSMUSG00000101654	ENSMUST00000187192	
ENSMUSG00000099369	ENSMUST00000186338	
ENSMUSG00000101808	ENSMUST00000186886	
ENSMUSG00000101893	ENSMUST00000189579	
ENSMUSG00000099910	ENSMUST00000189088	
ENSMUSG00000100442	ENSMUST00000187981	
ENSMUSG00000101518	ENSMUST00000190110	
ENSMUSG00000099818	ENSMUST00000188622	
ENSMUSG00000100500	ENSMUST00000188565	
ENSMUSG00000100677	ENSMUST00000189684	
ENSMUSG00000100171	ENSMUST00000190814	
ENSMUSG00000101255	ENSMUST00000189958	
ENSMUSG00000099463	ENSMUST00000190140	
ENSMUSG00000099463	ENSMUST00000186518	
ENSMUSG00000099463	ENSMUST00000188696	
ENSMUSG00000100745	ENSMUST00000185784	
