name	source	ensembl_gene	ensembl_source
Rbms1	MGI:8785[13];MGI:8785[13|6>12|0];Ensembl.MGI:53873[1>0]	ENSMUSG00000026970	CURATED:208[0];MGI:8785[13];MGI:8785[13|6>12|0];Ensembl.MGI:53873[1>0]
Rest	MGI:8870[13];MGI:8870[13|6>12|0];Ensembl.MGI:52483[1>0]	ENSMUSG00000029249	CURATED:209[0];MGI:8870[13];MGI:8870[13|6>12|0];Ensembl.MGI:52483[1>0]
Rora	MGI:18025[13];MGI:18025[13|6>12|0];Ensembl.MGI:40181[1>0]	ENSMUSG00000032238	CURATED:210[0];MGI:18025[13];MGI:18025[13|6>12|0];Ensembl.MGI:40181[1>0]
Rorb	MGI:162214[13];MGI:162214[13|6>12|0];Ensembl.MGI:21910[1>0]	ENSMUSG00000036192	CURATED:211[0];MGI:162214[13];MGI:162214[13|6>12|0];Ensembl.MGI:21910[1>0]
Rorc	MGI:581994[13];MGI:191921[13|6>12|0];Ensembl.MGI:39406[1>0]	ENSMUSG00000028150	CURATED:212[0];MGI:581994[13];MGI:191921[13|6>12|0];Ensembl.MGI:39406[1>0]
Runx1	MGI:24709[13];MGI:24709[13|6>12|0];Ensembl.MGI:7196[1>0]	ENSMUSG00000022952	CURATED:213[0];MGI:24709[13];MGI:24709[13|6>12|0];Ensembl.MGI:7196[1>0]
Runx2	MGI:39119[13];MGI:39119[13|6>12|0];Ensembl.MGI:23408[1>0]	ENSMUSG00000039153	CURATED:214[0];MGI:39119[13];MGI:39119[13|6>12|0];Ensembl.MGI:23408[1>0]
Runx3	MGI:39131[13];MGI:39131[13|6>12|0];Ensembl.MGI:23185[1>0]	ENSMUSG00000070691	CURATED:215[0];MGI:39131[13];MGI:39131[13|6>12|0];Ensembl.MGI:23185[1>0]
Rxra	MGI:18105[13];MGI:18105[13|6>12|0];Ensembl.MGI:56805[1>0]	ENSMUSG00000015846	CURATED:216[0];MGI:18105[13];MGI:18105[13|6>12|0];Ensembl.MGI:56805[1>0]
Rxrb	MGI:26958[13];MGI:26958[13|6>12|0];Ensembl.MGI:36374[1>0]	ENSMUSG00000039656	CURATED:217[0];MGI:26958[13];MGI:26958[13|6>12|0];Ensembl.MGI:36374[1>0]
Rxrg	MGI:563075[13|6];MGI:563075[13|6>12|0];Ensembl.MGI:37484[1>0]	ENSMUSG00000015843	CURATED:218[0];MGI:563075[13|6];MGI:563075[13|6>12|0];Ensembl.MGI:37484[1>0]
Satb1	MGI:9252[13];MGI:9252[13|6>12|0];Ensembl.MGI:6124[1>0]	ENSMUSG00000023927	CURATED:219[0];MGI:9252[13];MGI:9252[13|6>12|0];Ensembl.MGI:6124[1>0]
Six3	MGI:88088[13];MGI:88088[13|6>12|0];Ensembl.MGI:46883[1>0]	ENSMUSG00000038805	CURATED:220[0];MGI:88088[13];MGI:88088[13|6>12|0];Ensembl.MGI:46883[1>0]
Snai1	MGI:23155[13];MGI:23155[13|6>12|0];Ensembl.MGI:55430[1>0]	ENSMUSG00000042821	CURATED:221[0];MGI:23155[13];MGI:23155[13|6>12|0];Ensembl.MGI:55430[1>0]
Snai2	MGI:565510[13];MGI:565510[13|6>12|0];Ensembl.MGI:31353[1>0]	ENSMUSG00000022676	CURATED:222[0];MGI:565510[13];MGI:565510[13|6>12|0];Ensembl.MGI:31353[1>0]
Socs3	MGI:40860[13];MGI:40860[13|6>12|0];Ensembl.MGI:56508[1>0]	ENSMUSG00000053113	CURATED:223[0];MGI:40860[13];MGI:40860[13|6>12|0];Ensembl.MGI:56508[1>0]
Sox1	MGI:33958[13];MGI:33958[13|6>12|0];Ensembl.MGI:44437[1>0]	ENSMUSG00000096014	CURATED:224[0];MGI:33958[13];MGI:33958[13|6>12|0];Ensembl.MGI:44437[1>0]
Sox17	MGI:566108[13|6];MGI:566108[13|6>12|0];Ensembl.MGI:41126[1>0]	ENSMUSG00000025902	CURATED:225[0];MGI:566108[13|6];MGI:566108[13|6>12|0];Ensembl.MGI:41126[1>0]
Sox18	MGI:23994[13];MGI:23994[13|6>12|0];Ensembl.MGI:27369[1>0]	ENSMUSG00000046470	CURATED:226[0];MGI:23994[13];MGI:23994[13|6>12|0];Ensembl.MGI:27369[1>0]
Sox2	MGI:166425[13];MGI:166425[13|6>12|0];Ensembl.MGI:6695[1>0]	ENSMUSG00000074637	CURATED:227[0];MGI:166425[13];MGI:166425[13|6>12|0];Ensembl.MGI:6695[1>0]
Sox3	MGI:566118[13];MGI:566118[13|6>12|0];Ensembl.MGI:26814[1>0]	ENSMUSG00000045179	CURATED:228[0];MGI:566118[13];MGI:566118[13|6>12|0];Ensembl.MGI:26814[1>0]
